,livro,cap,versiculos,texto
0,1co,1,1,"Paulo, chamado para ser apóstolo de Cristo Jesus pela vontade de Deus, e o irmão Sóstenes,"
0,1co,1,2,"à igreja de Deus que está em Corinto, aos santificados em Cristo Jesus e chamados para serem santos, juntamente com todos os que, em toda parte, invocam o nome de nosso Senhor Jesus Cristo, Senhor deles e nosso:"
0,1co,1,3,"A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo."
0,1co,1,4,"Sempre dou graças a meu Deus por vocês, por causa da graça que lhes foi dada por ele em Cristo Jesus."
0,1co,1,5,"Pois nele vocês foram enriquecidos em tudo, em toda palavra e em todo conhecimento,"
0,1co,1,6,"porque o testemunho de Cristo foi confirmado entre vocês,"
0,1co,1,7,"de modo que não lhes falta nenhum dom espiritual, enquanto vocês aguardam que o nosso Senhor Jesus Cristo seja revelado."
0,1co,1,8,"Ele os manterá firmes até o fim, de modo que vocês serão irrepreensíveis no dia de nosso Senhor Jesus Cristo."
0,1co,1,9,"Fiel é Deus, o qual os chamou à comunhão com seu Filho Jesus Cristo, nosso Senhor."
0,1co,1,10,"Irmãos, em nome de nosso Senhor Jesus Cristo suplico a todos vocês que concordem uns com os outros no que falam, para que não haja divisões entre vocês, e, sim, que todos estejam unidos num só pensamento e num só parecer."
0,1co,1,11,"Meus irmãos, fui informado por alguns da casa de Cloe de que há divisões entre vocês."
0,1co,1,12,"Com isso quero dizer que cada um de vocês afirma: ""Eu sou de Paulo""; ""eu de Apolo""; ""eu de Pedro""; e ""eu de Cristo""."
0,1co,1,13,Acaso Cristo está dividido? Foi Paulo crucificado em favor de vocês? Foram vocês batizados em nome de Paulo?
0,1co,1,14,"Dou graças a Deus por não ter batizado nenhum de vocês, exceto Crispo e Gaio;"
0,1co,1,15,de modo que ninguém pode dizer que foi batizado em meu nome.
0,1co,1,16,"( Batizei também os da casa de Estéfanas; além destes, não me lembro se batizei alguém mais. )"
0,1co,1,17,"Pois Cristo não me enviou para batizar, mas para pregar o evangelho, não com palavras de sabedoria humana, para que a cruz de Cristo não seja esvaziada. Cristo, Sabedoria e Poder de Deus"
0,1co,1,18,"Pois a mensagem da cruz é loucura para os que estão perecendo, mas para nós, que estamos sendo salvos, é o poder de Deus."
0,1co,1,19,"Pois está escrito: ""Destruirei a sabedoria dos sábios e rejeitarei a inteligência dos inteligentes""."
0,1co,1,20,Onde está o sábio? Onde está o erudito? Onde está o questionador desta era? Acaso não tornou Deus louca a sabedoria deste mundo?
0,1co,1,21,"Visto que, na sabedoria de Deus, o mundo não o conheceu por meio da sabedoria humana, agradou a Deus salvar aqueles que crêem por meio da loucura da pregação."
0,1co,1,22,"Os judeus pedem sinais miraculosos, e os gregos procuram sabedoria;"
0,1co,1,23,"nós, porém, pregamos a Cristo crucificado, o qual, de fato, é escândalo para os judeus e loucura para os gentios"
0,1co,1,24,"mas para os que foram chamados, tanto judeus como gregos, Cristo é o poder de Deus e a sabedoria de Deus."
0,1co,1,25,"Porque a loucura de Deus é mais sábia que a sabedoria humana, e a fraqueza de Deus é mais forte que a força do homem."
0,1co,1,26,"Irmãos, pensem no que vocês eram quando foram chamados. Poucos eram sábios segundo os padrões humanos; poucos eram poderosos; poucos eram de nobre nascimento."
0,1co,1,27,"Mas Deus escolheu as coisas loucas do mundo para envergonhar os sábios, e escolheu as coisas fracas do mundo para envergonhar as fortes."
0,1co,1,28,"Ele escolheu as coisas insignificantes do mundo, as desprezadas e as que nada são, para reduzir a nada as que são,"
0,1co,1,29,para que ninguém se vanglorie diante dele.
0,1co,1,30,"É, porém, por iniciativa dele que vocês estão em Cristo Jesus, o qual se tornou sabedoria de Deus para nós, isto é, justiça, santidade e redenção,"
0,1co,1,31,"para que, como está escrito: ""Quem se gloriar, glorie-se no Senhor""."
0,1co,2,1,"Eu mesmo, irmãos, quando estive entre vocês, não fui com discurso eloqüente nem com muita sabedoria para lhes proclamar o mistério de Deus."
0,1co,2,2,"Pois decidi nada saber entre vocês, a não ser Jesus Cristo, e este, crucificado."
0,1co,2,3,"E foi com fraqueza, temor e com muito tremor que estive entre vocês."
0,1co,2,4,"Minha mensagem e minha pregação não consistiram de palavras persuasivas de sabedoria, mas consistiram de demonstração do poder do Espírito,"
0,1co,2,5,"para que a fé que vocês têm não se baseasse na sabedoria humana, mas no poder de Deus."
0,1co,2,6,"Entretanto, falamos de sabedoria entre os maduros, mas não da sabedoria desta era ou dos poderosos desta era, que estão sendo reduzidos a nada."
0,1co,2,7,"Pelo contrário, falamos da sabedoria de Deus, do mistério que estava oculto, o qual Deus preordenou, antes do princípio das eras, para a nossa glória."
0,1co,2,8,"Nenhum dos poderosos desta era o entendeu, pois, se o tivessem entendido, não teriam crucificado o Senhor da glória."
0,1co,2,9,"Todavia, como está escrito: ""Olho nenhum viu, ouvido nenhum ouviu, mente nenhuma imaginou o que Deus preparou para aqueles que o amam"";"
0,1co,2,10,"mas Deus o revelou a nós por meio do Espírito. O Espírito sonda todas as coisas, até mesmo as coisas mais profundas de Deus."
0,1co,2,11,"Pois, quem dentre os homens conhece as coisas do homem, a não ser o espírito do homem que nele está? Da mesma forma, ninguém conhece as coisas de Deus, a não ser o Espírito de Deus."
0,1co,2,12,"Nós, porém, não recebemos o espírito do mundo, mas o Espírito procedente de Deus, para que entendamos as coisas que Deus nos tem dado gratuitamente."
0,1co,2,13,"Delas também falamos, não com palavras ensinadas pela sabedoria humana, mas com palavras ensinadas pelo Espírito, interpretando verdades espirituais para os que são espirituais."
0,1co,2,14,"Quem não tem o Espírito não aceita as coisas que vêm do Espírito de Deus, pois lhe são loucura; e não é capaz de entendê-las, porque elas são discernidas espiritualmente."
0,1co,2,15,"Mas quem é espiritual discerne todas as coisas, e ele mesmo por ninguém é discernido; pois"
0,1co,2,16,"""quem conheceu a mente do Senhor para que possa instruí-lo? "" Nós, porém, temos a mente de Cristo."
0,1co,3,1,"Irmãos, não lhes pude falar como a espirituais, mas como a carnais, como a crianças em Cristo."
0,1co,3,2,"Dei-lhes leite, e não alimento sólido, pois vocês não estavam em condições de recebê-lo. De fato, vocês ainda não estão em condições,"
0,1co,3,3,"porque ainda são carnais. Porque, visto que há inveja e divisão entre vocês, não estão sendo carnais e agindo como mundanos?"
0,1co,3,4,"Pois quando alguém diz: ""Eu sou de Paulo"", e outro: ""Eu sou de Apolo"", não estão sendo mundanos?"
0,1co,3,5,"Afinal de contas, quem é Apolo? Quem é Paulo? Apenas servos por meio dos quais vocês vieram a crer, conforme o ministério que o Senhor atribuiu a cada um."
0,1co,3,6,"Eu plantei, Apolo regou, mas Deus é quem fazia crescer;"
0,1co,3,7,"de modo que nem o que planta nem o que rega são alguma coisa, mas unicamente Deus, que efetua o crescimento."
0,1co,3,8,"O que planta e o que rega têm um só propósito, e cada um será recompensado de acordo com o seu próprio trabalho."
0,1co,3,9,Pois nós somos cooperadores de Deus; vocês são lavoura de Deus e edifício de Deus.
0,1co,3,10,"Conforme a graça de Deus que me foi concedida, eu, como sábio construtor, lancei o alicerce, e outro está construindo sobre ele. Contudo, veja cada um como constrói."
0,1co,3,11,"Porque ninguém pode colocar outro alicerce além do que já está posto, que é Jesus Cristo."
0,1co,3,12,"Se alguém constrói sobre esse alicerce, usando ouro, prata, pedras preciosas, madeira, feno ou palha,"
0,1co,3,13,"sua obra será mostrada, porque o Dia a trará à luz; pois será revelada pelo fogo, que provará a qualidade da obra de cada um."
0,1co,3,14,"Se o que alguém construiu permanecer, esse receberá recompensa."
0,1co,3,15,"Se o que alguém construiu se queimar, esse sofrerá prejuízo; contudo, será salvo como alguém que escapa através do fogo."
0,1co,3,16,Vocês não sabem que são santuário de Deus e que o Espírito de Deus habita em vocês?
0,1co,3,17,"Se alguém destruir o santuário de Deus, Deus o destruirá; pois o santuário de Deus, que são vocês, é sagrado."
0,1co,3,18,"Não se enganem. Se algum de vocês pensa que é sábio segundo os padrões desta era, deve tornar-se ""louco"" para que se torne sábio."
0,1co,3,19,"Porque a sabedoria deste mundo é loucura aos olhos de Deus. Pois está escrito: ""Ele apanha os sábios na astúcia deles"";"
0,1co,3,20,"e também: ""O Senhor conhece os pensamentos dos sábios e sabe como são fúteis""."
0,1co,3,21,"Portanto, ninguém se glorie em homens; porque todas as coisas são de vocês,"
0,1co,3,22,"seja Paulo, seja Apolo, seja Pedro, seja o mundo, a vida, a morte, o presente ou o futuro; tudo é de vocês,"
0,1co,3,23,"e vocês são de Cristo, e Cristo, de Deus."
0,1co,4,1,"Portanto, que todos nos considerem como servos de Cristo e encarregados dos mistérios de Deus."
0,1co,4,2,O que se requer destes encarregados é que sejam fiéis.
0,1co,4,3,"Pouco me importa ser julgado por vocês ou por qualquer tribunal humano; de fato, nem eu julgo a mim mesmo."
0,1co,4,4,"Embora em nada minha consciência me acuse, nem por isso justifico a mim mesmo; o Senhor é quem me julga."
0,1co,4,5,"Portanto, não julguem nada antes da hora devida; esperem até que o Senhor venha. Ele trará à luz o que está oculto nas trevas e manifestará as intenções dos corações. Nessa ocasião, cada um receberá de Deus a sua aprovação."
0,1co,4,6,"Irmãos, apliquei essas coisas a mim e a Apolo por amor a vocês, para que aprendam de nós o que significa: ""Não ultrapassem o que está escrito"". Assim, ninguém se orgulhe a favor de um homem em detrimento de outro."
0,1co,4,7,"Pois, quem torna você diferente de qualquer outra pessoa? O que você tem que não tenha recebido? E se o recebeu, por que se orgulha, como se assim não fosse?"
0,1co,4,8,"Vocês já têm tudo o que querem! Já se tornaram ricos! Chegaram a ser reis — e sem nós! Como eu gostaria que vocês realmente fossem reis, para que nós também reinássemos com vocês!"
0,1co,4,9,"Porque me parece que Deus nos colocou a nós, os apóstolos, em último lugar, como condenados à morte. Temo-nos tornado um espetáculo para o mundo, tanto diante de anjos como de homens."
0,1co,4,10,"Nós somos loucos por causa de Cristo, mas vocês são sensatos em Cristo! Nós somos fracos, mas vocês são fortes! Vocês são respeitados, mas nós somos desprezados!"
0,1co,4,11,"Até agora estamos passando fome, sede e necessidade de roupas, estamos sendo tratados brutalmente, não temos residência certa e"
0,1co,4,12,"trabalhamos arduamente com nossas próprias mãos. Quando somos amaldiçoados, abençoamos; quando perseguidos, suportamos;"
0,1co,4,13,"quando caluniados, respondemos amavelmente. Até agora nos tornamos a escória da terra, o lixo do mundo."
0,1co,4,14,"Não estou tentando envergonhá-los ao escrever estas coisas, mas procuro adverti-los, como a meus filhos amados."
0,1co,4,15,"Embora possam ter dez mil tutores em Cristo, vocês não têm muitos pais, pois em Cristo Jesus eu mesmo os gerei por meio do evangelho."
0,1co,4,16,"Portanto, suplico-lhes que sejam meus imitadores."
0,1co,4,17,"Por essa razão estou lhes enviando Timóteo, meu filho amado e fiel no Senhor, o qual lhes trará à lembrança a minha maneira de viver em Cristo Jesus, de acordo com o que eu ensino por toda parte, em todas as igrejas."
0,1co,4,18,"Alguns de vocês se tornaram arrogantes, como se eu não fosse mais visitá-los."
0,1co,4,19,"Mas irei muito em breve, se o Senhor permitir; então saberei não apenas o que estão falando esses arrogantes, mas que poder eles têm."
0,1co,4,20,"Pois o Reino de Deus não consiste de palavras, mas de poder."
0,1co,4,21,"Que é que vocês querem? Devo ir a vocês com vara, ou com amor e espírito de mansidão?"
0,1co,5,1,"Por toda parte se ouve que há imoralidade entre vocês, imoralidade que não ocorre nem entre os pagãos, a ponto de alguém de vocês possuir a mulher de seu pai."
0,1co,5,2,"E vocês estão orgulhosos! Não deviam, porém, estar cheios de tristeza e expulsar da comunhão aquele que fez isso?"
0,1co,5,3,"Apesar de eu não estar presente fisicamente, estou com vocês em espírito. E já condenei aquele que fez isso, como se estivesse presente."
0,1co,5,4,"Quando vocês estiverem reunidos em nome de nosso Senhor Jesus, estando eu com vocês em espírito, estando presente também o poder de nosso Senhor Jesus Cristo,"
0,1co,5,5,"entreguem esse homem a Satanás, para que o corpo seja destruído, e seu espírito seja salvo no dia do Senhor."
0,1co,5,6,O orgulho de vocês não é bom. Vocês não sabem que um pouco de fermento faz toda a massa ficar fermentada?
0,1co,5,7,"Livrem-se do fermento velho, para que sejam massa nova e sem fermento, como realmente são. Pois Cristo, nosso Cordeiro pascal, foi sacrificado."
0,1co,5,8,"Por isso, celebremos a festa, não com o fermento velho, nem com o fermento da maldade e da perversidade, mas com os pães sem fermento da sinceridade e da verdade."
0,1co,5,9,Já lhes disse por carta que vocês não devem associar-se com pessoas imorais.
0,1co,5,10,"Com isso não me refiro aos imorais deste mundo, nem aos avarentos, aos ladrões ou aos idólatras. Se assim fosse, vocês precisariam sair deste mundo."
0,1co,5,11,"Mas agora estou lhes escrevendo que não devem associar-se com qualquer que, dizendo-se irmão, seja imoral, avarento, idólatra, caluniador, alcoólatra ou ladrão. Com tais pessoas vocês nem devem comer."
0,1co,5,12,"Pois, como haveria eu de julgar os de fora da igreja? Não devem vocês julgar os que estão dentro?"
0,1co,5,13,"Deus julgará os de fora. ""Expulsem esse perverso do meio de vocês""."
0,1co,6,1,"Se algum de vocês tem queixa contra outro irmão, como ousa apresentar a causa para ser julgada pelos ímpios, em vez de levá-la aos santos?"
0,1co,6,2,"Vocês não sabem que os santos hão de julgar o mundo? Se vocês hão de julgar o mundo, acaso não são capazes de julgar as causas de menor importância?"
0,1co,6,3,Vocês não sabem que haveremos de julgar os anjos? Quanto mais as coisas desta vida!
0,1co,6,4,"Portanto, se vocês têm questões relativas às coisas desta vida, designem para juízes os que são da igreja, mesmo que sejam os menos importantes."
0,1co,6,5,Digo isso para envergonhá-los. Acaso não há entre vocês alguém suficientemente sábio para julgar uma causa entre irmãos?
0,1co,6,6,"Mas, ao invés disso, um irmão vai ao tribunal contra outro irmão, e isso diante de descrentes!"
0,1co,6,7,O fato de haver litígios entre vocês já significa uma completa derrota. Por que não preferem sofrer a injustiça? Por que não preferem sofrer o prejuízo?
0,1co,6,8,"Em vez disso vocês mesmos causam injustiças e prejuízos, e isso contra irmãos!"
0,1co,6,9,"Vocês não sabem que os perversos não herdarão o Reino de Deus? Não se deixem enganar: nem imorais, nem idólatras, nem adúlteros, nem homossexuais passivos ou ativos,"
0,1co,6,10,"nem ladrões, nem avarentos, nem alcoólatras, nem caluniadores, nem trapaceiros herdarão o Reino de Deus."
0,1co,6,11,"Assim foram alguns de vocês. Mas vocês foram lavados, foram santificados, foram justificados no nome do Senhor Jesus Cristo e no Espírito de nosso Deus."
