,livro,cap,versiculos,texto
0,1tm,1,1,"Paulo, apóstolo de Cristo Jesus, por ordem de Deus, nosso Salvador, e de Cristo Jesus, a nossa esperança,"
0,1tm,1,2,"a Timóteo, meu verdadeiro filho na fé: Graça, misericórdia e paz da parte de Deus Pai e de Cristo Jesus, o nosso Senhor."
0,1tm,1,3,"Partindo eu para a Macedônia, roguei-lhe que permanecesse em Éfeso para ordenar a certas pessoas que não mais ensinem doutrinas falsas,"
0,1tm,1,4,"e que deixem de dar atenção a mitos e genealogias intermináveis, que causam controvérsias em vez de promoverem a obra de Deus, que é pela fé."
0,1tm,1,5,"O objetivo desta instrução é o amor que procede de um coração puro, de uma boa consciência e de uma fé sincera."
0,1tm,1,6,"Alguns se desviaram dessas coisas, voltando-se para discussões inúteis,"
0,1tm,1,7,"querendo ser mestres da lei, quando não compreendem nem o que dizem nem as coisas acerca das quais fazem afirmações tão categóricas."
0,1tm,1,8,"Sabemos que a lei é boa, se alguém a usa de maneira adequada."
0,1tm,1,9,"Também sabemos que ela não é feita para os justos, mas para os transgressores e insubordinados, para os ímpios e pecadores, para os profanos e irreverentes, para os que matam pai e mãe, para os homicidas,"
0,1tm,1,10,"para os que praticam imoralidade sexual e os homossexuais, para os seqüestradores, para os mentirosos e os que juram falsamente; e para todo aquele que se opõe à sã doutrina."
0,1tm,1,11,"Essa sã doutrina se vê no glorioso evangelho que me foi confiado, o evangelho do Deus bendito."
0,1tm,1,12,"Dou graças a Cristo Jesus, nosso Senhor, que me deu forças e me considerou fiel, designando-me para o ministério,"
0,1tm,1,13,"a mim que anteriormente fui blasfemo, perseguidor e insolente; mas alcancei misericórdia, porque o fiz por ignorância e na minha incredulidade;"
0,1tm,1,14,"contudo, a graça de nosso Senhor transbordou sobre mim, juntamente com a fé e o amor que estão em Cristo Jesus."
0,1tm,1,15,"Esta afirmação é fiel e digna de toda aceitação: Cristo Jesus veio ao mundo para salvar os pecadores, dos quais eu sou o pior."
0,1tm,1,16,"Mas, por isso mesmo alcancei misericórdia, para que em mim, o pior dos pecadores, Cristo Jesus demonstrasse toda a grandeza da sua paciência, usando-me como um exemplo para aqueles que nele haveriam de crer para a vida eterna."
0,1tm,1,17,"Ao Rei eterno, ao Deus único, imortal e invisível, sejam honra e glória para todo o sempre. Amém."
0,1tm,1,18,"Timóteo, meu filho, dou-lhe esta instrução, segundo as profecias já proferidas a seu respeito, para que, seguindo-as, você combata o bom combate,"
0,1tm,1,19,"mantendo a fé e a boa consciência que alguns rejeitaram e, por isso, naufragaram na fé."
0,1tm,1,20,"Entre eles estão Himeneu e Alexandre, os quais entreguei a Satanás, para que aprendam a não blasfemar."
0,1tm,2,1,"Antes de tudo, recomendo que se façam súplicas, orações, intercessões e ação de graças por todos os homens;"
0,1tm,2,2,"pelos reis e por todos os que exercem autoridade, para que tenhamos uma vida tranqüila e pacífica, com toda a piedade e dignidade."
0,1tm,2,3,"Isso é bom e agradável perante Deus, nosso Salvador,"
0,1tm,2,4,que deseja que todos os homens sejam salvos e cheguem ao conhecimento da verdade.
0,1tm,2,5,"Pois há um só Deus e um só mediador entre Deus e os homens: o homem Cristo Jesus,"
