,livro,cap,versiculos,texto
0,fm,1,1,"Paulo, prisioneiro de Cristo Jesus, e o irmão Timóteo, a você, Filemom, nosso amado cooperador,"
0,fm,1,2,"à irmã Áfia, a Arquipo, nosso companheiro de lutas, e à igreja que se reúne com você em sua casa."
0,fm,1,3,"A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo."
0,fm,1,4,"Sempre dou graças a meu Deus, lembrando-me de você nas minhas orações,"
0,fm,1,5,porque ouço falar da sua fé no Senhor Jesus e do seu amor por todos os santos.
0,fm,1,6,Oro para que a comunhão que procede da sua fé seja eficaz no pleno conhecimento de todo o bem que temos em Cristo.
0,fm,1,7,"Seu amor me tem dado grande alegria e consolação, porque você, irmão, tem reanimado o coração dos santos."
0,fm,1,8,"Por isso, mesmo tendo em Cristo plena liberdade para mandar que você cumpra o seu dever,"
0,fm,1,9,"prefiro fazer um apelo com base no amor. Eu, Paulo, já velho, e agora também prisioneiro de Cristo Jesus,"
0,fm,1,10,"apelo em favor de meu filho Onésimo, que gerei enquanto estava preso."
0,fm,1,11,"Ele antes lhe era inútil, mas agora é útil, tanto para você quanto para mim."
0,fm,1,12,"Mando-o de volta a você, como se fosse o meu próprio coração."
0,fm,1,13,Gostaria de mantê-lo comigo para que me ajudasse em seu lugar enquanto estou preso por causa do evangelho.
0,fm,1,14,"Mas não quis fazer nada sem a sua permissão, para que qualquer favor que você fizer seja espontâneo, e não forçado."
0,fm,1,15,"Talvez ele tenha sido separado de você por algum tempo, para que você o tivesse de volta para sempre,"
0,fm,1,16,"não mais como escravo, mas, acima de escravo, como irmão amado. Para mim ele é um irmão muito amado, e ainda mais para você, tanto como pessoa quanto como cristão."
0,fm,1,17,"Assim, se você me considera companheiro na fé, receba-o como se estivesse recebendo a mim."
0,fm,1,18,"Se ele o prejudicou em algo ou lhe deve alguma coisa, ponha na minha conta."
0,fm,1,19,"Eu, Paulo, escrevo de próprio punho: Eu pagarei — para não dizer que você me deve a sua própria pessoa."
0,fm,1,20,"Sim, irmão, eu gostaria de receber de você algum benefício por estarmos no Senhor. Reanime o meu coração em Cristo!"
0,fm,1,21,"Escrevo-lhe certo de que você me obedecerá, sabendo que fará ainda mais do lhe que peço."
0,fm,1,22,"Além disso, prepare-me um aposento, porque, graças às suas orações, espero poder ser restituído a vocês."
0,fm,1,23,"Epafras, meu companheiro de prisão por causa de Cristo Jesus, envia-lhe saudações,"
0,fm,1,24,"assim como também Marcos, Aristarco, Demas e Lucas, meus cooperadores."
0,fm,1,25,A graça do Senhor Jesus Cristo seja com o espírito de todos vocês.
