,livro,cap,versiculos,texto
0,fp,1,1,"Paulo e Timóteo, servos de Cristo Jesus, a todos os santos em Cristo Jesus que estão em Filipos, juntamente com os bispos e diáconos:"
0,fp,1,2,"A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo."
0,fp,1,3,Agradeço a meu Deus toda vez que me lembro de vocês.
0,fp,1,4,"Em todas as minhas orações em favor de vocês, sempre oro com alegria"
0,fp,1,5,"por causa da cooperação que vocês têm dado ao evangelho, desde o primeiro dia até agora."
0,fp,1,6,"Estou convencido de que aquele que começou boa obra em vocês, vai completá-la até o dia de Cristo Jesus."
0,fp,1,7,"É justo que eu assim me sinta a respeito de todos vocês, uma vez que os tenho em meu coração, pois, quer nas correntes que me prendem quer defendendo e confirmando o evangelho, todos vocês participam comigo da graça de Deus."
0,fp,1,8,"Deus é minha testemunha de como tenho saudade de todos vocês, com a profunda afeição de Cristo Jesus."
0,fp,1,9,"Esta é a minha oração: que o amor de vocês aumente cada vez mais em conhecimento e em toda a percepção,"
0,fp,1,10,"para discernirem o que é melhor, a fim de serem puros e irrepreensíveis até o dia de Cristo,"
0,fp,1,11,"cheios do fruto da justiça, fruto que vem por meio de Jesus Cristo, para glória e louvor de Deus."
0,fp,1,12,"Quero que saibam, irmãos, que aquilo que me aconteceu tem antes servido para o progresso do evangelho."
0,fp,1,13,"Como resultado, tornou-se evidente a toda a guarda do palácio e a todos os demais que estou na prisão por causa de Cristo."
0,fp,1,14,"E a maioria dos irmãos, motivados no Senhor pela minha prisão, estão anunciando a palavra com maior determinação e destemor."
0,fp,1,15,"É verdade que alguns pregam a Cristo por inveja e rivalidade, mas outros o fazem de boa vontade."
0,fp,1,16,"Estes o fazem por amor, sabendo que aqui me encontro para a defesa do evangelho."
0,fp,1,17,"Aqueles pregam a Cristo por ambição egoísta, sem sinceridade, pensando que me podem causar sofrimento enquanto estou preso."
0,fp,1,18,"Mas, que importa? O importante é que de qualquer forma, seja por motivos falsos ou verdadeiros, Cristo está sendo pregado, e por isso me alegro. De fato, continuarei a alegrar-me,"
0,fp,1,19,"pois sei que o que me aconteceu resultará em minha libertação, graças às orações de vocês e ao auxílio do Espírito de Jesus Cristo."
