,livro,cap,versiculos,texto
0,jn,1,1,"A palavra do Senhor veio a Jonas, filho de Amitai com esta ordem:"
0,jn,1,2,"""Vá depressa à grande cidade de Nínive e pregue contra ela, porque a sua maldade subiu até a minha presença""."
0,jn,1,3,"Mas Jonas fugiu da presença do Senhor, dirigindo-se para Társis. Desceu à cidade de Jope, onde encontrou um navio que se destinava àquele porto. Depois de pagar a passagem, embarcou para Társis, para fugir do Senhor."
0,jn,1,4,"O Senhor, porém, fez soprar um forte vento sobre o mar, e caiu uma tempestade tão violenta que o barco ameaçava arrebentar-se."
0,jn,1,5,"Todos os marinheiros ficaram com medo e cada um clamava ao seu próprio deus. E atiraram as cargas ao mar para tornar mais leve o navio. Enquanto isso, Jonas, que tinha descido para o porão e se deitado, dormia profundamente."
0,jn,1,6,"O capitão dirigiu-se a ele e disse: ""Como você pode ficar aí dormindo? Levante-se e clame ao seu deus! Talvez ele tenha piedade de nós e não morramos""."
0,jn,1,7,"Então os marinheiros combinaram entre si: ""Vamos tirar sortes para descobrir quem é o responsável por esta desgraça que se abateu sobre nós"". Tiraram sortes, e a sorte caiu sobre Jonas."
0,jn,1,8,"Por isso lhe perguntaram: ""Diga-nos, quem é o responsável por esta calamidade? Qual é a sua profissão? De onde você vem? Qual é a sua terra? A que povo você pertence? """
0,jn,1,9,"Ele respondeu: ""Eu sou hebreu, adorador do Senhor, o Deus dos céus, que fez o mar e a terra""."
0,jn,1,10,"Com isso eles ficaram apavorados e perguntaram: ""O que foi que você fez? "", pois sabiam que Jonas estava fugindo do Senhor, porque ele já lhes tinha dito."
0,jn,1,11,"Visto que o mar estava cada vez mais agitado, eles lhe perguntaram: ""O que devemos fazer com você, para que o mar se acalme? """
0,jn,1,12,"Respondeu ele: ""Peguem-me e joguem-me ao mar, e ele se acalmará. Pois eu sei que é por minha causa que esta violenta tempestade caiu sobre vocês""."
0,jn,1,13,"Ao invés disso, os homens se esforçaram ao máximo para remar de volta à terra. Mas não conseguiram, porque o mar tinha ficado ainda mais violento."
0,jn,1,14,"Então eles clamaram ao Senhor: ""Senhor, nós suplicamos, não nos deixes morrer por tirarmos a vida deste homem. Não caia sobre nós a culpa de matar um inocente, porque tu, ó Senhor, fizeste o que desejavas""."
0,jn,1,15,"Então, pegaram Jonas e o lançaram ao mar enfurecido, e este se aquietou."
0,jn,1,16,"Ao verem isso, os homens adoraram ao Senhor com temor, oferecendo-lhe sacrifício e fazendo-lhe votos."
0,jn,1,17,"Então o Senhor fez com que um grande peixe engolisse Jonas, e ele ficou dentro do peixe três dias e três noites."
0,jn,2,1,"Lá de dentro do peixe, Jonas orou ao Senhor, ao seu Deus."
0,jn,2,2,"Ele disse: ""Em meu desespero clamei ao Senhor, e ele me respondeu. Do ventre da morte gritei por socorro, e ouviste o meu clamor."
0,jn,2,3,"Jogaste-me nas profundezas, no coração dos mares; correntezas formavam turbilhão ao meu redor; todas as tuas ondas e vagas passaram sobre mim."
0,jn,2,4,"Eu disse: Fui expulso da tua presença; contudo, olharei de novo para o teu santo templo."
0,jn,2,5,"As águas agitadas me envolveram, o abismo me cercou, as algas marinhas se enrolaram em minha cabeça."
0,jn,2,6,"Afundei até os fundamentos dos montes; à terra cujas trancas estavam me aprisionando para sempre. Mas tu trouxeste a minha vida de volta da cova, ó Senhor meu Deus!"
0,jn,2,7,"""Quando a minha vida já se apagava, eu me lembrei de ti, Senhor, e a minha oração subiu a ti, ao teu santo templo."
0,jn,2,8,"""Aqueles que acreditam em ídolos inúteis desprezam a misericórdia."
0,jn,2,9,"Mas eu, com um cântico de gratidão, oferecerei sacrifício a ti. O que eu prometi cumprirei totalmente. A salvação vem do Senhor""."
0,jn,2,10,"E o Senhor deu ordens ao peixe, e ele vomitou Jonas em terra firme."
0,jn,3,1,A palavra do Senhor veio a Jonas pela segunda vez com esta ordem:
0,jn,3,2,"""Vá à grande cidade de Nínive e pregue contra ela a mensagem que eu vou dar a você""."
0,jn,3,3,E Jonas obedeceu à palavra do Senhor e foi para Nínive. Era uma cidade muito grande; demorava-se três dias para percorrê-la.
0,jn,3,4,"Jonas entrou na cidade e a percorreu durante um dia, proclamando: ""Daqui a quarenta dias Nínive será destruída""."
0,jn,3,5,"Os ninivitas creram em Deus. Proclamaram jejum, e todos eles, do maior ao menor, vestiram-se de pano de saco."
0,jn,3,6,"Quando as notícias chegaram ao rei de Nínive, ele se levantou do trono, tirou o manto real, vestiu-se de pano de saco e sentou-se sobre cinza."
0,jn,3,7,"Então fez uma proclamação em Nínive: ""Por decreto do rei e de seus nobres: Não é permitido a nenhum homem ou animal, bois ou ovelhas provar coisa alguma; não comam nem bebam!"
0,jn,3,8,"Cubram-se de pano de saco, homens e animais. E todos clamem a Deus com todas as suas forças. Deixem os maus caminhos e a violência."
0,jn,3,9,"Talvez Deus se arrependa e abandone a sua ira, e não sejamos destruídos""."
0,jn,3,10,Deus viu o que eles fizeram e como abandonaram os seus maus caminhos. Então Deus se arrependeu e não os destruiu como tinha ameaçado.
0,jn,4,1,Mas Jonas ficou profundamente descontente com isso e enfureceu-se.
0,jn,4,2,"Ele orou ao Senhor: ""Senhor, não foi isso que eu disse quando ainda estava em casa? Foi por isso que me apressei em fugir para Társis. Eu sabia que tu és Deus misericordioso e compassivo, muito paciente, cheio de amor e que promete castigar mas depois se arrepende."
0,jn,4,3,"Agora, Senhor, tira a minha vida, eu imploro, porque para mim é melhor morrer do que viver""."
0,jn,4,4,"O Senhor lhe respondeu: ""Você tem alguma razão para essa fúria? """
