,livro,cap,versiculos,texto
0,jó,1,1,Na terra de Uz vivia um homem chamado Jó. Era homem íntegro e justo; temia a Deus e evitava o mal.
0,jó,1,2,"Tinha ele sete filhos e três filhas,"
0,jó,1,3,"e possuía sete mil ovelhas, três mil camelos, quinhentas parelhas de boi e quinhentos jumentos, e tinha muita gente a seu serviço. Era o homem mais rico do oriente."
0,jó,1,4,"Seus filhos costumavam dar banquetes em casa, um de cada vez, e convidavam suas três irmãs para comerem e beberem com eles."
0,jó,1,5,"Terminado um período de banquetes, Jó mandava chamá-los e fazia com que se purificassem. De madrugada ele oferecia um holocausto em favor de cada um deles, pois pensava: ""Talvez os meus filhos tenham lá no íntimo pecado e amaldiçoado a Deus"". Essa era a prática constante de Jó."
0,jó,1,6,"Certo dia os anjos vieram apresentar-se ao Senhor, e Satanás também veio com eles."
0,jó,1,7,"O Senhor disse a Satanás: ""De onde você veio? "" Satanás respondeu ao Senhor: ""De perambular pela terra e andar por ela""."
0,jó,1,8,"Disse então o Senhor a Satanás: ""Reparou em meu servo Jó? Não há ninguém na terra como ele, irrepreensível, íntegro, homem que teme a Deus e evita o mal""."
0,jó,1,9,"""Será que Jó não tem razões para temer a Deus? "", respondeu Satanás."
0,jó,1,10,"""Acaso não puseste uma cerca em volta dele, da família dele e de tudo o que ele possui? Tu mesmo tens abençoado tudo o que ele faz, de modo que todos os seus rebanhos estão espalhados por toda a terra."
0,jó,1,11,"Mas estende a tua mão e fere tudo o que ele tem, e com certeza ele te amaldiçoará na tua face. """
0,jó,1,12,"O Senhor disse a Satanás: ""Pois bem, tudo o que ele possui está nas suas mãos; apenas não encoste um dedo nele"". Então Satanás saiu da presença do Senhor."
0,jó,1,13,"Certo dia, quando os filhos e as filhas de Jó estavam num banquete, comendo e bebendo vinho na casa do irmão mais velho,"
0,jó,1,14,"um mensageiro veio dizer a Jó: ""Os bois estavam arando, e os jumentos estavam pastando por perto,"
0,jó,1,15,"e os sabeus atacaram e os levaram embora. Mataram à espada os empregados, e eu fui o único que escapou para lhe contar! """
0,jó,1,16,"Enquanto ele ainda estava falando, chegou outro mensageiro e disse: ""Fogo de Deus caiu do céu e queimou totalmente as ovelhas e os empregados, e eu fui o único que escapou para lhe contar! """
0,jó,1,17,"Enquanto ele ainda estava falando, chegou outro mensageiro e disse: ""Vieram caldeus em três bandos, atacaram os camelos e os levaram embora. Mataram à espada os empregados, e eu fui o único que escapou para lhe contar! """
0,jó,1,18,"Enquanto ele ainda estava falando, chegou ainda outro mensageiro e disse: ""Seus filhos e suas filhas estavam num banquete, comendo e bebendo vinho na casa do irmão mais velho,"
0,jó,1,19,"quando, de repente, um vento muito forte veio do deserto e atingiu os quatro cantos da casa, que desabou. Eles morreram, e eu fui o único que escapou para lhe contar! """
0,jó,1,20,"Ao ouvir isso, Jó levantou-se, rasgou o manto e rapou a cabeça. Então prostrou-se no chão em adoração,"
0,jó,1,21,"e disse: ""Saí nu do ventre da minha mãe, e nu partirei. O Senhor o deu, o Senhor o levou; louvado seja o nome do Senhor ""."
0,jó,1,22,Em tudo isso Jó não pecou nem de nada culpou a Deus.
0,jó,2,1,"Num outro dia os anjos vieram apresentar-se ao Senhor, e Satanás também veio com eles para apresentar-se."
0,jó,2,2,"E o Senhor disse a Satanás, ""De onde você vem? "" Satanás respondeu ao Senhor: ""De perambular pela terra e andar por ela""."
0,jó,2,3,"Disse então o Senhor a Satanás: ""Reparou em meu servo Jó? Não há ninguém na terra como ele, irrepreensível, íntegro, homem que teme a Deus e evita o mal. Ele se mantém íntegro, apesar de você me haver instigado contra ele para arruiná-lo sem motivo""."
0,jó,2,4,"""Pele por pele! "", respondeu Satanás. ""Um homem dará tudo o que tem por sua vida."
0,jó,2,5,"Estende a tua mão e fere a sua carne e os seus ossos, e com certeza ele te amaldiçoará na tua face. """
0,jó,2,6,"O Senhor disse a Satanás: ""Pois bem, ele está nas suas mãos; apenas poupe a vida dele""."
0,jó,2,7,"Saiu, pois, Satanás da presença do Senhor e afligiu Jó com feridas terríveis, da sola dos pés ao alto da cabeça."
0,jó,2,8,"Então Jó apanhou um caco de louça com o qual se raspava, sentado entre as cinzas."
0,jó,2,9,"Então sua mulher lhe disse: ""Você ainda mantém a sua integridade? Amaldiçoe a Deus, e morra! """
0,jó,2,10,"Ele respondeu: ""Você fala como uma insensata. Aceitaremos o bem dado por Deus, e não o mal? "" Em tudo isso Jó não pecou com os lábios."
0,jó,2,11,"Quando três amigos de Jó, Elifaz, de Temã, Bildade, de Suá, e Zofar, de Naamate, souberam de todos os males que o haviam atingido, saíram, cada um da sua região, e combinaram encontrar-se para mostrar solidariedade a Jó e consolá-lo."
0,jó,2,12,"Quando o viram à distância, mal puderam reconhecê-lo e começaram a chorar em alta voz. Cada um deles rasgou o manto e colocou terra sobre a cabeça."
0,jó,2,13,"Depois se assentaram no chão com ele, durante sete dias e sete noites. Ninguém lhe disse uma palavra, pois viam como era grande o seu sofrimento."
0,jó,3,1,"Depois disso Jó abriu a boca e amaldiçoou o dia do seu nascimento,"
0,jó,3,2,dizendo:
0,jó,3,3,"""Pereça o dia do meu nascimento e a noite em que se disse: ‘Nasceu um menino! ’"
0,jó,3,4,"Transforme-se aquele dia em trevas, e Deus, lá do alto, não se importe com ele; não resplandeça a luz sobre ele."
0,jó,3,5,Chamem-no de volta as trevas e a mais densa escuridão; coloque-se uma nuvem sobre ele e o negrume aterrorize a sua luz.
0,jó,3,6,"Apoderem-se daquela noite densas trevas! Não seja ela incluída entre os dias do ano, nem faça parte de nenhum dos meses."
0,jó,3,7,"Seja aquela noite estéril, e nela não se ouçam brados de alegria."
0,jó,3,8,Amaldiçoem aquele dia os que amaldiçoam os dias e são capazes de atiçar o Leviatã.
0,jó,3,9,"Fiquem escuras as suas estrelas matutinas, e espere ele em vão pela luz do sol e não veja os primeiros raios da alvorada,"
0,jó,3,10,pois não fechou as portas do ventre materno para evitar que eu contemplasse males.
0,jó,3,11,"""Por que não morri ao nascer, e não pereci quando saí do ventre?"
0,jó,3,12,Por que houve joelhos para me receberem e seios para me amamentarem?
0,jó,3,13,Agora eu bem poderia estar deitado em paz e achar repouso
0,jó,3,14,"junto aos reis e conselheiros da terra, que construíram para si lugares que agora jazem em ruínas,"
0,jó,3,15,"com governantes que possuíam ouro, que enchiam suas casas de prata."
0,jó,3,16,"Por que não me sepultaram como criança abortada, como um bebê que nunca viu a luz do dia?"
0,jó,3,17,"Ali os ímpios já não se agitam, e ali os cansados permanecem em repouso;"
0,jó,3,18,"os prisioneiros também desfrutam sossego, já não ouvem mais os gritos do feitor de escravos."
0,jó,3,19,"Os simples e os poderosos ali estão, e o escravo está livre de seu senhor."
0,jó,3,20,"""Por que se dá luz aos infelizes, e vida aos de alma amargurada,"
0,jó,3,21,"aos que anseiam pela morte, e esta não vem, e a procuram mais do que a um tesouro oculto,"
0,jó,3,22,aos que se enchem de alegria e exultam quando vão para a sepultura?
0,jó,3,23,"Por que se dá vida àquele cujo caminho é oculto, e a quem Deus fechou as saídas?"
0,jó,3,24,Pois me vêm suspiros em vez de comida; meus gemidos transbordam como água.
0,jó,3,25,O que eu temia veio sobre mim; o que eu receava me aconteceu.
0,jó,3,26,"Não tenho paz, nem tranqüilidade, nem descanso; somente inquietação""."
0,jó,4,1,"Então respondeu Elifaz, de Temã:"
0,jó,4,2,"""Se alguém se aventurar a dizer-lhe uma palavra, você ficará impaciente? Mas quem pode refrear as palavras?"
